key,code,title,crn,no,total,schd,stat,isCancelled,meets,mpkey,instr,srcdb
565,CHNS 152,Advanced Modern Chinese for Advanced Learners I,10753,02,3,H,A,,MWF 10:30-11:20a,2027,H. Wang,201803
566,CHNS 152,Advanced Modern Chinese for Advanced Learners I,10754,03,3,H,A,,MWF 11:35a-12:25p,2028,P. Xu,201803
567,CHNS 154,Upper Advanced Modern Chinese III,10755,01,2,H,A,,MWF 10:30-11:20a,2027,W. Zhou,201803
568,CHNS 154,Upper Advanced Modern Chinese III,10756,02,2,H,A,,MWF 11:35a-12:25p,2028,W. Zhou,201803
569,CHNS 162,Upper Advanced Modern Chinese for Advanced Learners III,10757,01,2,H,A,,MWF 10:30-11:20a,2027,W. Su,201803
570,CHNS 162,Upper Advanced Modern Chinese for Advanced Learners III,10758,02,2,H,A,,MWF 11:35a-12:25p,2028,W. Su,201803
571,CHNS 164,Readings in Contemporary  Chinese Fiction,10759,01,1,L,A,,TTh 11:35a-12:50p,2021,W. Su,201803
572,CHNS 166,Chinese Media and Society,10760,01,1,L,A,,TTh 11:35a-12:50p,2021,W. Zhou,201803
573,CHNS 168,Chinese for Global Enterprises,10761,01,1,H,A,,MW 1-2:15p,2030,M. Chen,201803
574,CHNS 170,Introduction to Literary Chinese I,10762,01,1,H,A,,TTh 9-10:15a,2033,P. Lin,201803
575,CHNS 172,Chinese for Scholarly Conversation,10763,01,1,L,A,,MW 2:30-3:45p,2031,Y. Zhang,201803
577,CLCV 052,The Myths of Oedipus,13312,01,1,L,A,,TTh 1-2:15p,2035,C. Kraus,201803
578,CLCV 125,Introduction to Ancient Philosophy,11564,01,1,H,A,,TTh 11:35a-12:25p,2094,V. Harte,201803
579,CLCV 161,Art and Myth in Greek Antiquity,13313,01,1,H,A,,TTh 10:30-11:20a,2019,M. Gaifman,201803
580,CLCV 175,Roman Architecture,11387,01,1,H,A,,TTh 9-10:15a,2033,D. Kleiner,201803
581,CLCV 205,Introduction to Ancient Greek History,13316,01,1,H,A,,MW 10:30-11:20a,2022,F. Gerardin,201803
582,CLCV 206,The Roman Republic,13319,01,1,H,A,,TTh 2:30-3:45p,2020,F. Gerardin,201803
583,CLCV 209,Nikos Kazantzakis: From Revolution to Nihilism,11269,01,1,L,A,,Th 1:30-3:20p,2095,G. Syrimis,201803
584,CLCV 216,Dionysus in Modernity,11272,01,1,L,A,,F 1:30-3:20p,2100,G. Syrimis,201803
585,CLCV 311,Egypt of the Pharaohs,13236,01,1,H,A,,MW 10:30-11:20a,2022,J. Manning,201803
586,CLCV 419,Ancient Empires,13396,01,1,H,A,,MW 9-10:15a,2038,K. Van Bladel,201803
587,CLCV 450,Two-Term Senior Project for the Major in Classical Civilization,13324,01,1,Y,A,,HTBA,1,P. LeVen,201803
588,CLCV 452,One-Term Senior Project for the Major in Classical Civilization,13325,01,1,Y,A,,HTBA,1,P. LeVen,201803
589,CLCV 494,Independent Tutorial in Classical Civilization,13326,01,1,F,A,,HTBA,1,P. LeVen,201803
590,CLSS 405,Greek Papyrology,13327,01,1,L,A,,T 2:30-4:20p,2113,A. Hanson,201803
591,CLSS 490,Two-Term Senior Essay for the Intensive Major in Classics,13328,01,1,Y,A,,HTBA,1,P. LeVen,201803
592,CLSS 492,One-Term Senior Essay for the Intensive Major in Classics,13329,01,1,Y,A,,HTBA,1,P. LeVen,201803
605,CPAR 291,Special Projects,10708,01,1,F,A,,HTBA,1,Staff,201803
606,CPAR 491,Senior Project in Computing and the Arts,10709,01,1,Y,A,,HTBA,1,Staff,201803
629,CPSC 100,Introduction to Computing and Programming,13594,01,1,H,A,,HTBA,1,B. Brown,201803
